City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Lisala,CD,2.15,21.52,73.82,94,80,2.73
Tiksi,RU,71.64,128.87,35.39,98,92,5.75
Iquique,CL,-20.22,-70.14,62.6,77,75,9.17
Quaregnon,BE,50.44,3.86,45.91,100,20,5.82
Malino,RU,55.11,38.18,41.0,93,0,8.95
Flinders,AU,-34.58,150.85,57.2,62,75,16.11
Catuday,PH,16.29,119.81,84.17,100,8,3.18
Acari,BR,-6.44,-36.64,70.58,85,12,9.33
Khuzhir,RU,53.19,107.35,53.66,77,0,5.53
Maniitsoq,GL,65.42,-52.9,40.43,78,20,21.18
Salantai,LT,56.06,21.57,47.35,100,100,2.62
Kupang,ID,-10.16,123.6,93.2,36,20,13.87
Oranjemund,ZA,-28.55,16.43,56.9,92,36,18.5
Tual,ID,-5.67,132.75,81.56,95,0,18.95
Vagur,FO,61.47,-6.81,47.45,100,20,9.66
Longyearbyen,NO,78.22,15.63,39.2,100,75,13.87
Pevek,RU,69.7,170.27,45.83,94,44,6.08
Roald,NO,62.58,6.12,40.77,70,75,13.87
Borovoy,RU,63.23,52.89,59.78,78,44,13.02
San Miguelito,HN,13.74,-87.49,69.8,68,75,4.7
Provideniya,RU,64.42,-173.23,50.0,57,40,2.24
Vrangel,RU,42.73,133.08,60.32,100,0,14.47
Cherskiy,RU,68.75,161.3,35.84,86,88,6.42
Buta,CD,2.79,24.73,70.85,98,48,2.17
Makubetsu,JP,42.84,143.34,66.2,82,75,4.7
Khani,GE,41.96,42.96,62.6,100,75,2.24
Cacoal,BR,-11.43,-61.44,77.96,76,44,0.38
Thompson,CA,55.74,-97.86,33.8,50,40,2.24
Coahuayana,MX,18.62,-100.35,68.6,79,24,0.94
Nouadhibou,MR,20.93,-17.03,69.8,94,75,13.87
Keuruu,FI,62.26,24.71,36.48,93,0,6.93
Aloleng,PH,16.13,119.78,84.17,100,8,3.18
Barcelona,ES,41.38,2.18,70.7,83,20,5.82
Oksfjord,NO,70.24,22.35,44.69,81,92,12.75
Porto Novo,BR,-23.68,-45.44,68.0,77,40,4.7
Tasiilaq,GL,65.61,-37.64,32.0,100,92,31.09
Victoria,BN,5.28,115.24,86.02,79,75,2.24
Sawakin,SD,19.1,37.33,78.23,82,44,2.73
Yulara,AU,-25.24,130.99,82.4,8,0,17.22
Charagua,BO,-19.79,-63.2,83.09,48,8,19.84
Marystown,CA,47.17,-55.16,53.12,90,32,16.37
Deputatskiy,RU,69.3,139.9,30.98,71,76,7.65
Sorong,ID,-0.86,131.25,82.28,100,48,13.58
